actual_name,rename_values
Defense,Defense
Antimicrobial,Antimicrobial
Anti Gram(-),Anti Gram(-)
Anti Yeast,Antiyeast
Lipid Binding,Lipid Binding
Transport,Transport
Sexual,sexual/reproduction
Enzyme inhibitor,Enzyme inhibitor
Antihypertensive,Antihypertensive
Neuropeptide,Neuropeptide
Toxic,Toxic
Neuropeptide,Neuropeptide
Transcription factor,Transcription processes
Transcription factor,Transcription processes
Hormone,Hormone
Hormone,Hormone
Neuropeptide,Neuropeptide
Neuropeptide,Neuropeptide
Neuropeptide,Neuropeptide
Antibacterial/antibiotic,Antibacterial/antibiotic
Neuropeptide,Neuropeptide
Neuropeptide,Neuropeptide
Allergen,Allergen
Allergen,Allergen
Enzyme inhibitor,Enzyme inhibitor
Growth factor,Growth factor
Analgesic,Analgesic
Antiparasitic,Antiparasitic
Hormone,Hormone
Neurotoxin,Neurotoxin
Angiogenic,Angiogenic
Hormone,Hormone
Antimicrobial,Antimicrobial
Anorexic,Anorexic
Antiparasitic,Antiparasitic
Neuropeptide,Neuropeptide
Antibacterial/antibiotic,Antibacterial/antibiotic
Antibiofilm,Antibiofilm
Anti Diabetic,Diabetic
Antimicrobial,Antimicrobial
Antibacterial/antibiotic,Antibacterial/antibiotic
Antimicrobial,Antimicrobial
Allergen,Allergen
Therapeutic,Therapeutic
Anti-analgesic,Anti-analgesic
Atheroma related,Atheroma related
Anti-arthropod,Anti-arthropod
Chaperone,Chaperone
Anti Coagulant,Coagulation or anticoagulation
Inflamatory modulato,Inflammatory modulator
Anti Diabetic,Diabetic
Anti Gram(-),Anti Gram(-)
Anti Gram(+),Anti Gram(+)
Anti HIV,Anti HIV
Uricemic,Uricemic
Antiinflammatory,Inflammatory modulator
Neurological activity,Neurological activity
Eating behavior,Eating behavior
Coagulation or anticoagulation,Coagulation or anticoagulation
Anti-protist,Anti-protist
Allergen,Allergen
Therapeutic,Therapeutic
Anti Angiogenic,Angiogenic
Antibacterial/antibiotic,Antibacterial/antibiotic
Antibiofilm,Antibiofilm
Antibacterial/antibiotic,Antibacterial/antibiotic
Anticancer,Anticancer
Coagulation or anticoagulation,Coagulation or anticoagulation
Anti Diabetic,Diabetic
Diuresis,Diuresis
Antidote,Antidote
Biopesticide,Biopesticide
Antifreezing,Antifreezing
Antifungal,Antifungal
Anti Gram(-),Anti Gram(-)
Anti Gram(+),Anti Gram(+)
Anti HIV,Anti HIV
Anti Diabetic,Diabetic
Antihypertensive,Antihypertensive
Uricemic,Uricemic
Antiinflammatory,Inflammatory modulator
Insecticidal,Insecticidal
Anti Leishmania,Anti Leishmania
Antimalarial/antiplasmodial,Antimalarial/antiplasmodial
Antimicrobial,Antimicrobial
Antimicrobial,Antimicrobial
Antinociceptive,Antinociceptive
Anticancer,Anticancer
Antioxidant,Antioxidant
Antiparasitic,Antiparasitic
Antimalarial/antiplasmodial,Antimalarial/antiplasmodial
ANTIPROLIFERATIVE,AntiProliferative
Antiprotozoal,Antiprotozoal
Other activitiy,Other activity
Coagulation or anticoagulation,Coagulation or anticoagulation
Antidote,Antidote
Antidote,Antidote
Antiparasitic,Antiparasitic
Antitumour,Antitumour
Antitumour,Antitumour
Antiviral,Antiviral
Anti Yeast,Antiyeast
Antitumour,Antitumour
Antiinflammatory,Inflammatory modulator
Anxiolytic,Anxiolytic
Homeostasis,Homeostasis
Antibacterial/antibiotic,Antibacterial/antibiotic
Apoptosis,Apoptosis
Toxins,Toxins
Anti Gram(-),Anti Gram(-)
Growth factor,Growth factor
ARTHROPOD,Arthropod
Antibacterial/antibiotic,Antibacterial/antibiotic
Inflamatory modulator,Inflammatory modulator
BACTERIA GROWTH STIMULATOR,Bacteria Growth stimulator
Behavior,Behavior
Neurotoxin,Neurotoxin
